"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Token_ID","Method"
"0xd5c8c5f563195e7f051328f7be98e58c3041b3bcfd03ba4801b51f956424d895","13101931","1629993257","2021-08-26 15:54:17","0xa58899bbc983781d47c7dd5a6b8aeef53cd34bbc","0x48e3e06520ff208746b8555076f7af3e71af1a4f","16", "Transfer From"
"0x0e5098f32caa198d5f53d231d5d2712c65fbbc55051cbfaf6f4a3d83bd2ba60b","13103643","1630015799","2021-08-26 22:09:59","0x830bd73e4184cef73443c15111a1df14e495c706","0xed345b69b68086d2dfca17fc87e0e8909b858dd3","19", "Settle Current And Create New Auction"
"0x0e5098f32caa198d5f53d231d5d2712c65fbbc55051cbfaf6f4a3d83bd2ba60b","13103643","1630015799","2021-08-26 22:09:59","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","20", "Settle Current And Create New Auction"
"0x0e5098f32caa198d5f53d231d5d2712c65fbbc55051cbfaf6f4a3d83bd2ba60b","13103643","1630015799","2021-08-26 22:09:59","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x2573c60a6d127755aa2dc85e342f7da2378a0cc5","20", "Settle Current And Create New Auction"
"0x0e5098f32caa198d5f53d231d5d2712c65fbbc55051cbfaf6f4a3d83bd2ba60b","13103643","1630015799","2021-08-26 22:09:59","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","21", "Settle Current And Create New Auction"
"0x0e5098f32caa198d5f53d231d5d2712c65fbbc55051cbfaf6f4a3d83bd2ba60b","13103643","1630015799","2021-08-26 22:09:59","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","21", "Settle Current And Create New Auction"
"0xb0fa71a09150221a89fe2589c6d35790579b9bd2ac6e01bb6e7ca0258356e9c3","13109915","1630100313","2021-08-27 21:38:33","0xed345b69b68086d2dfca17fc87e0e8909b858dd3","0xa397d02928acaaf6553fd7e832413c5a732cf559","19", "Transfer From"
"0xa42c37e1a6fbfb63deca439db84e0aab4fa634af38643e2e38edcee760aabdad","13110139","1630103369","2021-08-27 22:29:29","0x830bd73e4184cef73443c15111a1df14e495c706","0xaee8c60ff7e8947ad514c4310e0f2e203194c33f","21", "Settle Current And Create New Auction"
"0xa42c37e1a6fbfb63deca439db84e0aab4fa634af38643e2e38edcee760aabdad","13110139","1630103369","2021-08-27 22:29:29","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","22", "Settle Current And Create New Auction"
"0xa42c37e1a6fbfb63deca439db84e0aab4fa634af38643e2e38edcee760aabdad","13110139","1630103369","2021-08-27 22:29:29","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","22", "Settle Current And Create New Auction"
"0x9e277ea03fa4efdff06015941e67fe1d658767f40ffc3b15698aabea1ec5817e","13116600","1630189959","2021-08-28 22:32:39","0x830bd73e4184cef73443c15111a1df14e495c706","0xbb34b41d5615c44e2cae4f80a447feb02b636b66","22", "Settle Current And Create New Auction"
"0x9e277ea03fa4efdff06015941e67fe1d658767f40ffc3b15698aabea1ec5817e","13116600","1630189959","2021-08-28 22:32:39","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","23", "Settle Current And Create New Auction"
"0x9e277ea03fa4efdff06015941e67fe1d658767f40ffc3b15698aabea1ec5817e","13116600","1630189959","2021-08-28 22:32:39","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","23", "Settle Current And Create New Auction"
"0x27bc69b970ecd0e3a3c1173f78ea8bfa5b499e5e295b1adda8b417fd10b7d70a","13123186","1630277372","2021-08-29 22:49:32","0x830bd73e4184cef73443c15111a1df14e495c706","0x9646e0f7544b8ee3649e7ac77eef0cf5b53b748a","23", "Settle Current And Create New Auction"
"0x27bc69b970ecd0e3a3c1173f78ea8bfa5b499e5e295b1adda8b417fd10b7d70a","13123186","1630277372","2021-08-29 22:49:32","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","24", "Settle Current And Create New Auction"
"0x27bc69b970ecd0e3a3c1173f78ea8bfa5b499e5e295b1adda8b417fd10b7d70a","13123186","1630277372","2021-08-29 22:49:32","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","24", "Settle Current And Create New Auction"
"0xc495e19d264a9affe45beab6282ef29fe51994eb05c74e998817b8dac208c25b","13129765","1630364924","2021-08-30 23:08:44","0x830bd73e4184cef73443c15111a1df14e495c706","0x180e0db5c0c3204520a96c6d77c94402b5001241","24", "Settle Current And Create New Auction"
"0xc495e19d264a9affe45beab6282ef29fe51994eb05c74e998817b8dac208c25b","13129765","1630364924","2021-08-30 23:08:44","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","25", "Settle Current And Create New Auction"
"0xc495e19d264a9affe45beab6282ef29fe51994eb05c74e998817b8dac208c25b","13129765","1630364924","2021-08-30 23:08:44","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","25", "Settle Current And Create New Auction"
"0x91f6b6d73f431d6199f1012d43fd9a9a49b9c6c7ab608c288063437a2a1b9f60","13136267","1630452361","2021-08-31 23:26:01","0x830bd73e4184cef73443c15111a1df14e495c706","0x32dd0756316b31d731aa6ae0f60b9b560e0ed92c","25", "Settle Current And Create New Auction"
"0x91f6b6d73f431d6199f1012d43fd9a9a49b9c6c7ab608c288063437a2a1b9f60","13136267","1630452361","2021-08-31 23:26:01","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","26", "Settle Current And Create New Auction"
"0x91f6b6d73f431d6199f1012d43fd9a9a49b9c6c7ab608c288063437a2a1b9f60","13136267","1630452361","2021-08-31 23:26:01","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","26", "Settle Current And Create New Auction"
"0x11b6234cd02c95f67bad524cc3e04ec785df0795f1f314dd00db53532b38c2b8","13141142","1630517807","2021-09-01 17:36:47","0xbb34b41d5615c44e2cae4f80a447feb02b636b66","0x93757e12bfb1c0d4d2e319b621e27cb499bd35be","22", "Transfer From"
"0x42edb377dd983b0c643d0c44f7c22c3a17f68fd453b95ac3ceac0e6b47d26764","13142881","1630540794","2021-09-01 23:59:54","0x830bd73e4184cef73443c15111a1df14e495c706","0xbb67d2ab6251a6bd5276759cb431088c5487a3b2","26", "Settle Current And Create New Auction"
"0x42edb377dd983b0c643d0c44f7c22c3a17f68fd453b95ac3ceac0e6b47d26764","13142881","1630540794","2021-09-01 23:59:54","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","27", "Settle Current And Create New Auction"
"0x42edb377dd983b0c643d0c44f7c22c3a17f68fd453b95ac3ceac0e6b47d26764","13142881","1630540794","2021-09-01 23:59:54","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","27", "Settle Current And Create New Auction"
"0x593231df62fde68bd397447ffa55516867e502622b8a42a8abbb02e0245f3b9e","13149550","1630629066","2021-09-03 00:31:06","0x830bd73e4184cef73443c15111a1df14e495c706","0x33daf8e90cd1f214cc25a1865649e847254f2ece","27", "Settle Current And Create New Auction"
"0x593231df62fde68bd397447ffa55516867e502622b8a42a8abbb02e0245f3b9e","13149550","1630629066","2021-09-03 00:31:06","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","28", "Settle Current And Create New Auction"
"0x593231df62fde68bd397447ffa55516867e502622b8a42a8abbb02e0245f3b9e","13149550","1630629066","2021-09-03 00:31:06","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","28", "Settle Current And Create New Auction"
"0x905be114fa616781ebe55b9933d31f92dd081be5ce971cba970e6c968b653054","13156134","1630716961","2021-09-04 00:56:01","0x830bd73e4184cef73443c15111a1df14e495c706","0xca04e939a0ac0626c4a4299735e353e8dc5ef3ec","28", "Settle Current And Create New Auction"
"0x905be114fa616781ebe55b9933d31f92dd081be5ce971cba970e6c968b653054","13156134","1630716961","2021-09-04 00:56:01","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","29", "Settle Current And Create New Auction"
"0x905be114fa616781ebe55b9933d31f92dd081be5ce971cba970e6c968b653054","13156134","1630716961","2021-09-04 00:56:01","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","29", "Settle Current And Create New Auction"
"0xd0e8e9d8b06c1a0c5b9de47efd7f9441795612bee3bf0da48f5b441f513f3114","13162611","1630803582","2021-09-05 00:59:42","0x830bd73e4184cef73443c15111a1df14e495c706","0xd049b3064990869c9f73bd7896271d83325d2067","29", "Settle Current And Create New Auction"
"0xd0e8e9d8b06c1a0c5b9de47efd7f9441795612bee3bf0da48f5b441f513f3114","13162611","1630803582","2021-09-05 00:59:42","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","30", "Settle Current And Create New Auction"
"0xd0e8e9d8b06c1a0c5b9de47efd7f9441795612bee3bf0da48f5b441f513f3114","13162611","1630803582","2021-09-05 00:59:42","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x2573c60a6d127755aa2dc85e342f7da2378a0cc5","30", "Settle Current And Create New Auction"
"0xd0e8e9d8b06c1a0c5b9de47efd7f9441795612bee3bf0da48f5b441f513f3114","13162611","1630803582","2021-09-05 00:59:42","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","31", "Settle Current And Create New Auction"
